customer_id,call_count,conversation_ids
92901c861081c3c6539cafd680c8e00b42cf61c78682b851aa46a7e29999f0ba,2,0412547851-1971524081-2334228970-2917985560 2298308477-1972507121-2193916394-2917985560
6fbb051005bff508e181602056621c2b668a177932803b05783ecec6831b5a40,2,2778702364-1970409969-2864873962-2917985560 3525757309-1970541041-2696385592-0825805307
4e7316cd31fef56267d487534a6700b6c53f40455b4d7c93b7963421d34bac88,2,2249602562-1972113905-2644347200-3594676577 0561917914-1972244977-2183366976-3594676577
7aac283d89675a57a0a7979ba9a8ac8ae14d0162d46ed19b12c74ab292165739,2,3128750708-1969164785-2724512245-1773867395 0069993630-1969230321-2764669418-2917985560
2a83ee83e611013034566066815bb3d6fa9dc1ad0fe0397fdce90854c4f961a8,2,1169437684-1969820145-2830144568-0825805307 1867793732-1969230321-2898105400-0825805307
9b6f5690aabe5c40c94a3a9e139d4c91ebf3c8dcc9f256570399de24bc8e2bee,2,1307772970-1972376049-3004467520-3594676577 3178471438-1972572657-2660024821-1773867395
6a14fb61f9efe193d0b4b8411893219707bc38645e8b734319208a35de3fc11a,2,1707338440-1973228017-2477820224-3594676577 2582878162-1973228017-2712961514-2917985560
6721e46805719a311c44814f18aba9ca7b36a8d1c19856103fc8fcb9d858307e,2,0220596309-1971720689-2924528117-1773867395 0819596452-1971720689-2980692469-1773867395
a97a4d8fd0f24358f4d904651db1362f9434749deb8dae7306798aece9b84ba6,2,0077582361-1969689073-2354219328-3594676577 1076856226-1969295857-3196748266-2917985560
d71865da0830a442ea115188bf83e2c76cf8713c1502bc6ba2602633195bd5af,2,1322065918-1969295857-2255929845-1773867395 0688446110-1969295857-3161620970-2917985560
61ff15888e233b7bb7a1ba6e1d10376dd3d0e6ec0fc6d655072f12a147c9aaeb,2,0970729769-1968902641-2266534968-0825805307 4088799400-1970344433-2606727658-2917985560
70b3b0c48e7ca485e73c1adbc3eb6d4fbd795244f923846cf45a5df9eb3561d3,2,1491517214-1960841713-2538244416-3594676577 3882952389-1971393009-2563148096-3594676577
f10c90f7468033a467ffad8b77dcb51d18de7c2ba652f85fb28d2e3e158e74c8,2,1226524109-1969492465-3202978872-0825805307 1494466139-1961300465-2268763192-0825805307
679c05ee5970f6d760f47176f683c69c346ba47a9a424e8b33e55faa83686cb4,2,3339561872-1968706033-2606076984-0825805307 2842395948-1969295857-2270527978-2917985560
6c6fc1821f394e07f18a4c9e7b0e67afccf8196dd8fa32791c942d621e90c7d5,2,3684039947-1972048369-2359789888-3594676577 2892090428-1972310513-2774632768-3594676577
